state,zip,plan_letter,carrier_name,rate_type,gender,age,monthly_premium
NC,27713,G,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,F,80,212.18
NC,27713,G,Insurance Company of North America,ATTAINED_AGE,F,80,215.42
NC,27713,G,Medico Insurance Company (Standard I),ATTAINED_AGE,F,80,219.58
NC,27713,G,HealthSpring Insurance Company,ATTAINED_AGE,F,80,230.07
NC,27713,G,LifeShield National Insurance Company,ATTAINED_AGE,F,80,232.2
NC,27713,G,WoodmenLife,ATTAINED_AGE,F,80,233.35
NC,27713,G,American Benefit Life Insurance Company,ATTAINED_AGE,F,80,236.96
NC,27713,G,Erie Family Life Insurance Company,ATTAINED_AGE,F,80,236.96
NC,27713,G,Globe Life and Accident Insurance Company,ATTAINED_AGE,F,80,242
NC,27713,G,Medico Insurance Company (Standard II),ATTAINED_AGE,F,80,249.52
NC,27713,G,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,F,80,251.83
NC,27713,G,AFLAC,ATTAINED_AGE,F,80,255.98
NC,27713,G,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,F,80,261.32
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,F,80,264.26
NC,27713,G,Aetna Health Insurance Company,ATTAINED_AGE,F,80,265.98
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,F,80,271.75
NC,27713,G,Heartland National Life Insurance Company,ATTAINED_AGE,F,80,275.12
NC,27713,G,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,F,80,276.88
NC,27713,G,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,F,80,288.71
NC,27713,G,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,F,80,290.62
NC,27713,G,USAA Life Insurance Company,ATTAINED_AGE,F,80,299.37
NC,27713,G,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,F,80,316.87
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,F,80,338.82
NC,27713,G,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,F,80,345.11
NC,27713,G,BlueCross BlueShield of North Carolina,ATTAINED_AGE,F,80,353
NC,27713,G,GPM Health and Life Insurance Company,ATTAINED_AGE,F,80,414.04
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,F,80,418.29
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,F,80,450.65
NC,27713,G,United American Insurance Company,ATTAINED_AGE,F,80,456
NC,27713,G,Guarantee Trust Life Insurance Company,ATTAINED_AGE,F,80,515.82
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,F,80,754.32
NC,27713,G,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,M,85,225.86
NC,27713,G,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,M,85,256.22
NC,27713,G,Lumos Insurance,ATTAINED_AGE,M,85,265.84
NC,27713,G,Medico Insurance Company (Preferred),ATTAINED_AGE,M,85,279.3
NC,27713,G,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,M,85,281.71
NC,27713,G,Old Surety Life Insurance Company,ISSUE_AGE,M,85,289.57
NC,27713,G,Nassau Life Insurance Company,ATTAINED_AGE,M,85,298.8
NC,27713,G,Globe Life and Accident Insurance Company,ATTAINED_AGE,M,85,299
NC,27713,G,Insurance Company of North America,ATTAINED_AGE,M,85,303.33
NC,27713,G,Medico Insurance Company (Standard I),ATTAINED_AGE,M,85,307.23
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,M,85,307.5
NC,27713,G,Erie Family Life Insurance Company,ATTAINED_AGE,M,85,316.9
NC,27713,G,HealthSpring Insurance Company,ATTAINED_AGE,M,85,328.14
NC,27713,G,LifeShield National Insurance Company,ATTAINED_AGE,M,85,331.64
NC,27713,G,WoodmenLife,ATTAINED_AGE,M,85,339.73
NC,27713,G,Medico Insurance Company (Standard II),ATTAINED_AGE,M,85,349.12
